      lon        lat       Ve       Vn        Se       Sn      Cen     site
   242.18829   33.60565  -31.125   30.292    1.081    1.027  -0.0914  san_joaq
   242.52873   33.87081  -25.296   25.441    1.080    1.211  -0.0666  arling__
   242.67704   33.79820  -25.675   24.761    0.956    1.317  -0.0409  ida_____
   242.34648   33.84985  -26.919   26.975    1.009    0.935   0.0983  sier____
   243.43961   33.64871  -15.765   19.391    0.884    1.160   0.1111  eve_____
   243.42594   33.55321  -18.479   21.142    0.880    1.156  -0.0479  lookout_
   243.57422   33.52355  -17.853   17.028    0.902    1.171   0.0409  toro____
   242.93787   33.60522  -25.616   25.847    0.959    1.669   0.1206  bachelor
   242.65692   33.60214  -27.486   26.799    1.048    1.276   0.1989  elsinore
   242.77142   33.71800  -25.981   25.441    1.021    1.488   0.0482  menifee_
   242.92942   33.82280  -24.030   24.026    1.052    1.554  -0.1621  nelson__
   243.07367   33.68773  -24.458   24.979    0.976    1.716   0.0807  pollycgs
   243.08961   33.52397  -24.905   27.065    1.002    1.724   0.0581  roundtop
   242.33744   33.80596  -27.447   27.109    1.182    0.907   0.0583  black___
   242.25360   33.76490  -29.360   27.819    1.225    1.010  -0.0125  lomas___
   242.86081   34.01365  -20.505   20.222    1.686    1.498  -0.1555  brink_an
   243.00322   33.90804  -21.143   20.517    1.238    1.687  -0.3266  david_an
   242.88577   33.95599  -22.453   21.265    1.392    1.501  -0.2397  gander__
   242.80897   33.87410  -24.930   24.226    1.137    1.476  -0.1763  micro___
   243.17464   33.84430  -18.734   20.562    1.161    2.029  -0.3139  ranger__
   242.87695   33.72370  -24.988   25.405    1.534    2.129  -0.1407  double__
   243.20098   33.56133  -23.507   27.003    0.958    1.634   0.0261  jason___
   243.30099   33.45447  -23.319   26.521    1.061    1.353  -0.2519  moss____
   243.32008   33.61888  -18.581   22.450    0.881    1.401   0.1175  thomasec
   244.04833   34.05872    0.014    1.138    2.078    2.865  -0.0484  29_palms
   243.90272   34.05277   -1.268    4.064    1.964    1.834   0.0292  queen___
   244.03063   34.21842    3.263    0.821    2.723    2.639  -0.5283  valmtecc
   243.80432   33.93586   -4.497    7.775    1.273    1.037   0.2537  inspncer
   243.69382   34.42917    1.395   10.800    4.459    1.376   0.1854  creole__
   243.54153   34.41918   -0.089   10.958    4.350    2.015   0.7342  maume_jo
   243.53100   34.26419   -1.202   12.175    3.013    2.037   0.6511  rich____
   243.59268   34.05514   -2.943   12.864    1.736    1.326   0.5036  warren__
   243.80898   34.08275   -0.620    7.106    1.938    1.231   0.0121  keys____
   243.88637   34.19342    2.379    4.265    2.645    1.708  -0.4009  mesquite
   243.61001   34.15321   -0.202   11.272    2.344    1.458   0.4478  pax_ncer
   243.38249   34.25802   -2.610   12.765    2.990    3.310   0.6622  meeks___
   243.92064   34.31480    5.628    4.276    3.353    1.942  -0.5309  segundo_
   244.69250   32.41808  -18.822   25.227    3.079    3.637  -0.0062  prieto__
   244.57294   32.22195  -24.664   25.330    1.219    1.087   0.3268  david___
   244.69407   32.33423  -18.081   26.360    1.722    2.010   0.3100  24______
   244.54386   32.37713  -22.281   25.871    1.324    1.167   0.2836  puerta__
   244.43992   32.45360  -22.612   26.931    1.239    1.070   0.3717  fierro__
   244.33624   32.20414  -25.886   26.245    1.236    1.255   0.2325  928_____
   244.12703   32.30844  -26.743   26.315    1.324    0.996   0.0629  diablo__
   244.08320   32.45056  -26.068   26.574    1.263    0.942   0.1504  cila_6__
   244.49860   33.27928   -4.080   -1.367    0.816    0.941   0.0880  oldbeach
   244.73822   33.23391   -1.810   -2.492    0.955    1.726   0.3684  salva___
